id,name,lastName,scopusUrl,eid
6701563636,Angel,Sanz-Andres,https://www.scopus.com/authid/detail.uri?authorId=6701563636,
7003400960,Juan Antonio,de la Puente,https://www.scopus.com/authid/detail.uri?authorId=7003400960,
7003501614,Juan Carlos,Duenas,https://www.scopus.com/authid/detail.uri?authorId=7003501614,
7003699673,Juan C.,Minano,https://www.scopus.com/authid/detail.uri?authorId=7003699673,
7003837077,G. V.,Guinea,https://www.scopus.com/authid/detail.uri?authorId=7003837077,
7004189898,Ricardo,Cordoba,https://www.scopus.com/authid/detail.uri?authorId=7004189898,
7004331189,Roque,Corral,https://www.scopus.com/authid/detail.uri?authorId=7004331189,
7004418139,Manuel,Carro,https://www.scopus.com/authid/detail.uri?authorId=7004418139,
7004855372,Eduardo,Lorenzo,https://www.scopus.com/authid/detail.uri?authorId=7004855372,
7004989922,M. Elena,Hernando,https://www.scopus.com/authid/detail.uri?authorId=7004989922,
7005656802,Juan R.,Sanmartin,https://www.scopus.com/authid/detail.uri?authorId=7005656802,
7005785057,Gustavo R.,Plaza,https://www.scopus.com/authid/detail.uri?authorId=7005785057,
7005853672,Jose Antonio,Encinar,https://www.scopus.com/authid/detail.uri?authorId=7005853672,
7005864666,Alexander N.,Pisarchik,https://www.scopus.com/authid/detail.uri?authorId=7005864666,
7006751614,Cesar,Sanz,https://www.scopus.com/authid/detail.uri?authorId=7006751614,
7007012346,Trinidad J.,De Torres Perez-Hidalgo,https://www.scopus.com/authid/detail.uri?authorId=7007012346,
7007026485,Alfonso,Mateos,https://www.scopus.com/authid/detail.uri?authorId=7007026485,
7102183314,Jose V.,Rios,https://www.scopus.com/authid/detail.uri?authorId=7102183314,
7102437939,Jose M.,Moya,https://www.scopus.com/authid/detail.uri?authorId=7102437939,
7103233806,M.,Lara,https://www.scopus.com/authid/detail.uri?authorId=7103233806,
7201427543,Agustin,Rubio,https://www.scopus.com/authid/detail.uri?authorId=7201427543,
7201639528,J. Y.,Pastor,https://www.scopus.com/authid/detail.uri?authorId=7201639528,
7202332713,Jaime,Esteban,https://www.scopus.com/authid/detail.uri?authorId=7202332713,
7402478477,A.,Alonso,https://www.scopus.com/authid/detail.uri?authorId=7402478477,
7403372571,Carlos D.,Gonzalez,https://www.scopus.com/authid/detail.uri?authorId=7403372571,
7801462987,Isabel,Perez-Grande,https://www.scopus.com/authid/detail.uri?authorId=7801462987,
7801546083,Maria J.,Ledesma-Carbayo,https://www.scopus.com/authid/detail.uri?authorId=7801546083,
8353219900,Antonio,Morata,https://www.scopus.com/authid/detail.uri?authorId=8353219900,
8837740500,Jose Ignacio,Serrano,https://www.scopus.com/authid/detail.uri?authorId=8837740500,
8882795400,Alfonso,Rodriguez-Paton,https://www.scopus.com/authid/detail.uri?authorId=8882795400,
9271886300,Mariano,Ruiz,https://www.scopus.com/authid/detail.uri?authorId=9271886300,
9740540300,Carlos,Rodriguez-Monroy,https://www.scopus.com/authid/detail.uri?authorId=9740540300,
